timestamp,source,host,ip,event_type,status_code,bytes,message
2025-10-31T04:29:02.859201+00:00,db-server,srv-app-2,10.0.3.10,login,401,856,User bob login failed
2025-11-05T15:19:02.859201+00:00,auth-service,srv-app-1,10.0.3.8,file_access,401,405,File /var/log/auth.log accessed by trent
2025-11-01T10:16:02.859201+00:00,db-server,srv-app-1,10.0.2.17,file_access,500,332,File /home/alice/docs/report.pdf accessed by bob
2025-10-30T23:24:02.859201+00:00,db-server,srv-db-1,192.168.3.11,file_access,403,1299,File /etc/passwd accessed by trent
2025-10-30T19:36:02.859201+00:00,vpn-gateway,srv-db-1,192.168.3.4,firewall_allow,401,503,Firewall allowed traffic from 192.168.3.4
2025-11-01T12:18:02.859201+00:00,auth-service,srv-app-2,10.0.2.2,firewall_block,500,215,Firewall blocked traffic from 10.0.2.2
2025-11-03T01:42:02.859201+00:00,db-server,srv-app-2,10.0.3.21,login,201,461,User carol login success
2025-11-04T04:18:02.859201+00:00,vpn-gateway,srv-app-2,10.0.4.12,file_access,200,311,File /var/log/auth.log accessed by mallory
2025-11-01T08:08:02.859201+00:00,firewall,fw-main,10.0.2.13,firewall_block,403,472,Firewall blocked traffic from 10.0.2.13
2025-11-03T19:04:02.859201+00:00,firewall,srv-db-1,10.0.3.9,sql_query,400,407,Query executed by alice on customers
2025-10-31T15:49:02.859201+00:00,firewall,vpn-1,10.0.1.17,firewall_allow,500,1137,Firewall allowed traffic from 10.0.1.17
2025-10-30T01:13:02.859201+00:00,auth-service,vpn-1,10.0.3.21,firewall_block,404,198,Firewall blocked traffic from 10.0.3.21
2025-11-04T01:58:02.859201+00:00,db-server,vpn-1,10.0.2.22,login,201,694,User dan login success
2025-10-31T15:49:02.859201+00:00,web-server,vpn-1,192.168.2.16,file_access,200,492,File /etc/passwd accessed by mallory
2025-11-02T10:03:02.859201+00:00,web-server,vpn-1,10.0.1.21,login,401,1476,User carol login failed
2025-10-31T09:08:02.859201+00:00,vpn-gateway,srv-app-2,10.0.3.20,firewall_block,500,941,Firewall blocked traffic from 10.0.3.20
2025-11-02T11:12:02.859201+00:00,db-server,fw-main,192.168.2.13,file_access,503,243,File /home/alice/docs/report.pdf accessed by alice
2025-11-05T14:43:02.859201+00:00,vpn-gateway,srv-app-2,10.0.1.2,firewall_allow,201,506,Firewall allowed traffic from 10.0.1.2
2025-10-30T16:29:02.859201+00:00,db-server,srv-app-1,192.168.2.12,ddos,401,1913,Potential DDoS detected from 192.168.2.12
2025-11-05T01:19:02.859201+00:00,vpn-gateway,vpn-1,192.168.2.2,login,401,1848,User bob login success
2025-11-03T19:47:02.859201+00:00,firewall,fw-main,10.0.1.14,file_access,201,570,File /var/log/auth.log accessed by dan
2025-11-05T00:31:02.859201+00:00,firewall,srv-app-2,10.0.3.24,file_access,503,264,File /etc/passwd accessed by alice
2025-11-05T01:41:02.859201+00:00,auth-service,srv-app-2,10.0.2.19,sql_query,500,395,Query executed by trent on customers
2025-10-31T19:02:02.859201+00:00,firewall,srv-db-1,192.168.1.21,file_access,403,63,File /srv/app/config.yaml accessed by carol
2025-11-01T01:56:02.859201+00:00,auth-service,vpn-1,192.168.2.19,login,200,528,User carol login success
2025-10-30T13:36:02.859201+00:00,auth-service,srv-app-2,10.0.1.18,recon,201,510,Reconnaissance pattern detected for 10.0.1.18
2025-10-31T06:49:02.859201+00:00,vpn-gateway,srv-app-2,192.168.3.5,recon,200,498,Reconnaissance pattern detected for 192.168.3.5
2025-11-05T13:27:02.859201+00:00,db-server,srv-db-1,10.0.3.5,firewall_allow,404,258,Firewall allowed traffic from 10.0.3.5
2025-11-02T08:00:02.859201+00:00,auth-service,srv-app-1,192.168.1.22,file_access,201,230,File /home/alice/docs/report.pdf accessed by carol
2025-11-02T21:23:02.859201+00:00,web-server,srv-db-1,10.0.4.1,sql_query,400,350,Query executed by eve on customers
2025-11-05T05:31:02.859201+00:00,auth-service,srv-app-2,10.0.3.20,login,201,246,User mallory login success
2025-11-01T05:40:02.859201+00:00,db-server,vpn-1,192.168.2.6,firewall_block,403,194,Firewall blocked traffic from 192.168.2.6
2025-11-02T01:38:02.859201+00:00,db-server,srv-app-2,192.168.3.20,login,403,216,User alice login success
2025-10-31T04:37:02.859201+00:00,web-server,vpn-1,10.0.1.10,login,404,445,User eve login success
2025-11-03T01:39:02.859201+00:00,auth-service,srv-db-1,10.0.3.6,sql_query,401,526,Query executed by trent on transactions
2025-11-01T14:43:02.859201+00:00,web-server,fw-main,10.0.1.7,sql_query,400,580,Query executed by trent on transactions
2025-11-01T22:56:02.859201+00:00,auth-service,fw-main,10.0.1.10,login,503,84,User eve login success
2025-11-01T12:13:02.859201+00:00,web-server,fw-main,10.0.4.13,login,403,213,User mallory login success
2025-10-30T05:37:02.859201+00:00,db-server,srv-app-2,192.168.3.5,login,403,191,User bob login success
2025-11-03T07:16:02.859201+00:00,web-server,srv-db-1,10.0.1.12,sql_query,500,464,Query executed by dan on logs
2025-11-03T19:51:02.859201+00:00,db-server,vpn-1,10.0.4.9,login,201,557,User trent login success
2025-11-02T15:09:02.859201+00:00,db-server,vpn-1,10.0.2.9,file_access,401,102,File /var/log/auth.log accessed by eve
2025-11-03T12:58:02.859201+00:00,auth-service,srv-db-1,10.0.4.2,firewall_allow,401,339,Firewall allowed traffic from 10.0.4.2
2025-11-02T14:04:02.859201+00:00,firewall,srv-app-2,192.168.2.11,file_access,503,822,File /home/alice/docs/report.pdf accessed by mallory
